Cidade,Estado,Mês,Mínimo Temperatura,Máximo Temperatura,Precipitação (mm)
Pedra Branca do Amapari,AP,Junho,22°,29°,275
Pedra Branca do Amapari,AP,Julho,22°,30°,219
Pedra Branca do Amapari,AP,Agosto,23°,32°,138
Pedra Branca do Amapari,AP,Setembro,23°,34°,97
Pedra Branca do Amapari,AP,Outubro,24°,35°,61
Pedra Branca do Amapari,AP,Novembro,24°,34°,88
Pedra Branca do Amapari,AP,Dezembro,24°,32°,147
Normandia,RR,Janeiro,23°,32°,28
Normandia,RR,Fevereiro,23°,32°,31
Normandia,RR,Março,24°,33°,32
Normandia,RR,Abril,24°,32°,119
Normandia,RR,Maio,23°,29°,297
Normandia,RR,Junho,22°,28°,363
Normandia,RR,Julho,21°,27°,315
Normandia,RR,Agosto,22°,29°,223
Normandia,RR,Setembro,23°,31°,104
Normandia,RR,Outubro,24°,32°,74
Normandia,RR,Novembro,24°,33°,62
Normandia,RR,Dezembro,23°,32°,46
Araçoiaba,PE,Janeiro,24°,29°,60
Araçoiaba,PE,Fevereiro,24°,29°,82
Araçoiaba,PE,Março,24°,29°,125
Araçoiaba,PE,Abril,24°,28°,153
Araçoiaba,PE,Maio,23°,27°,160
Araçoiaba,PE,Junho,22°,26°,213
Araçoiaba,PE,Julho,22°,25°,186
Araçoiaba,PE,Agosto,22°,26°,114
Araçoiaba,PE,Setembro,22°,27°,63
Araçoiaba,PE,Outubro,23°,28°,30
Araçoiaba,PE,Novembro,23°,29°,29
Araçoiaba,PE,Dezembro,24°,29°,34
Santa Maria,DF,Janeiro,19°,26°,225
Santa Maria,DF,Fevereiro,18°,26°,176
Santa Maria,DF,Março,18°,25°,200
Santa Maria,DF,Abril,18°,26°,102
Santa Maria,DF,Maio,16°,26°,28
Santa Maria,DF,Junho,14°,26°,6
Santa Maria,DF,Julho,14°,26°,5
Santa Maria,DF,Agosto,16°,29°,15
Santa Maria,DF,Setembro,19°,30°,40
Santa Maria,DF,Outubro,20°,31°,117
Santa Maria,DF,Novembro,19°,27°,207
Santa Maria,DF,Dezembro,19°,26°,232
Arara,PB,Janeiro,20°,29°,53
Arara,PB,Fevereiro,20°,29°,72
Arara,PB,Março,20°,29°,119
Arara,PB,Abril,20°,27°,119
Arara,PB,Maio,20°,27°,98
Arara,PB,Junho,19°,24°,109
Arara,PB,Julho,18°,24°,88
Arara,PB,Agosto,18°,25°,60
Arara,PB,Setembro,19°,27°,30
Arara,PB,Outubro,19°,29°,12
Arara,PB,Novembro,20°,30°,14
Arara,PB,Dezembro,20°,30°,21
Marechal Thaumaturgo,AC,Janeiro,23°,29°,225
Marechal Thaumaturgo,AC,Fevereiro,22°,29°,202
Marechal Thaumaturgo,AC,Março,22°,28°,241
Marechal Thaumaturgo,AC,Abril,22°,29°,187
Marechal Thaumaturgo,AC,Maio,21°,30°,112
Marechal Thaumaturgo,AC,Junho,19°,30°,63
Marechal Thaumaturgo,AC,Julho,19°,31°,45
Marechal Thaumaturgo,AC,Agosto,21°,34°,56
Marechal Thaumaturgo,AC,Setembro,22°,34°,93
Marechal Thaumaturgo,AC,Outubro,23°,33°,148
Marechal Thaumaturgo,AC,Novembro,23°,31°,196
Marechal Thaumaturgo,AC,Dezembro,22°,29°,221
Alto Feliz,RS,Janeiro,19°,30°,149
Alto Feliz,RS,Fevereiro,19°,30°,138
Alto Feliz,RS,Março,18°,29°,107
Alto Feliz,RS,Abril,16°,25°,129
Alto Feliz,RS,Maio,12°,20°,125
Alto Feliz,RS,Junho,12°,19°,147
Alto Feliz,RS,Julho,10°,18°,160
Alto Feliz,RS,Agosto,11°,20°,134
Alto Feliz,RS,Setembro,12°,21°,164
Alto Feliz,RS,Outubro,15°,23°,170
Alto Feliz,RS,Novembro,16°,25°,142
Alto Feliz,RS,Dezembro,17°,28°,137
Pacaraíma,RR,Janeiro,23°,29°,310
Pacaraíma,RR,Fevereiro,23°,28°,286
Pacaraíma,RR,Março,23°,28°,340
Pacaraíma,RR,Abril,23°,28°,324
Pacaraíma,RR,Maio,23°,29°,295
Pacaraíma,RR,Junho,22°,30°,177
Pacaraíma,RR,Julho,22°,32°,113
Pacaraíma,RR,Agosto,23°,35°,104
Pacaraíma,RR,Setembro,24°,35°,125
Pacaraíma,RR,Outubro,24°,33°,159
Pacaraíma,RR,Novembro,24°,32°,226
Pacaraíma,RR,Dezembro,24°,29°,286
Alto Horizonte,GO,Janeiro,21°,28°,346
Alto Horizonte,GO,Fevereiro,21°,28°,256
Alto Horizonte,GO,Março,21°,27°,236
Alto Horizonte,GO,Abril,20°,28°,98
Alto Horizonte,GO,Maio,19°,29°,23
Alto Horizonte,GO,Junho,18°,30°,3
Alto Horizonte,GO,Julho,19°,31°,2
Alto Horizonte,GO,Agosto,21°,33°,9
Alto Horizonte,GO,Setembro,24°,35°,52
Alto Horizonte,GO,Outubro,24°,34°,129
Alto Horizonte,GO,Novembro,22°,30°,213
Alto Horizonte,GO,Dezembro,21°,29°,322
Plácido de Castro,AC,Janeiro,23°,29°,299
Plácido de Castro,AC,Fevereiro,23°,28°,280
Plácido de Castro,AC,Março,23°,28°,300
Plácido de Castro,AC,Abril,22°,29°,201
Plácido de Castro,AC,Maio,21°,29°,105
Plácido de Castro,AC,Junho,20°,30°,47
Plácido de Castro,AC,Julho,20°,32°,26
Plácido de Castro,AC,Agosto,22°,35°,52
Plácido de Castro,AC,Setembro,24°,35°,102
Plácido de Castro,AC,Outubro,23°,33°,171
Plácido de Castro,AC,Novembro,23°,31°,201
Plácido de Castro,AC,Dezembro,23°,29°,274
Araruna,PB,Janeiro,22°,31°,53
Araruna,PB,Fevereiro,23°,31°,72
Araruna,PB,Março,23°,30°,119
Araruna,PB,Abril,22°,29°,119
Araruna,PB,Maio,22°,29°,98
Araruna,PB,Junho,21°,27°,109
Araruna,PB,Julho,21°,26°,88
Araruna,PB,Agosto,20°,27°,60
Araruna,PB,Setembro,21°,29°,30
Araruna,PB,Outubro,21°,30°,12
Araruna,PB,Novembro,22°,31°,14
Araruna,PB,Dezembro,22°,31°,21
São Sebastião,DF,Janeiro,19°,26°,225
São Sebastião,DF,Fevereiro,19°,26°,176
São Sebastião,DF,Março,18°,26°,200
São Sebastião,DF,Abril,18°,25°,102
São Sebastião,DF,Maio,16°,26°,28
São Sebastião,DF,Junho,14°,25°,6
São Sebastião,DF,Julho,14°,26°,5
São Sebastião,DF,Agosto,15°,28°,15
São Sebastião,DF,Setembro,18°,30°,40
São Sebastião,DF,Outubro,20°,31°,117
São Sebastião,DF,Novembro,20°,27°,207
São Sebastião,DF,Dezembro,19°,27°,232
Araripina,PE,Janeiro,22°,31°,114
Araripina,PE,Fevereiro,21°,31°,110
Araripina,PE,Março,21°,31°,168
Araripina,PE,Abril,21°,30°,106
Araripina,PE,Maio,21°,30°,33
Araripina,PE,Junho,19°,28°,10
Araripina,PE,Julho,19°,28°,9
Araripina,PE,Agosto,19°,30°,3
Araripina,PE,Setembro,21°,33°,14
Araripina,PE,Outubro,23°,34°,16
Araripina,PE,Novembro,23°,34°,31
Araripina,PE,Dezembro,23°,32°,72
Amélia Rodrigues,BA,Janeiro,21°,32°,64
Amélia Rodrigues,BA,Fevereiro,22°,32°,70
Amélia Rodrigues,BA,Março,22°,31°,86
Amélia Rodrigues,BA,Abril,21°,29°,124
Amélia Rodrigues,BA,Maio,21°,27°,134
Amélia Rodrigues,BA,Junho,20°,25°,129
Amélia Rodrigues,BA,Julho,19°,25°,106
Amélia Rodrigues,BA,Agosto,18°,25°,80
Amélia Rodrigues,BA,Setembro,19°,28°,63
Amélia Rodrigues,BA,Outubro,20°,30°,50
Amélia Rodrigues,BA,Novembro,20°,31°,80
Amélia Rodrigues,BA,Dezembro,21°,32°,73
Alto Taquari,MT,Janeiro,22°,29°,273
Alto Taquari,MT,Fevereiro,21°,29°,240
Alto Taquari,MT,Março,21°,29°,230
Alto Taquari,MT,Abril,20°,29°,109
Alto Taquari,MT,Maio,18°,28°,47
Alto Taquari,MT,Junho,17°,29°,18
Alto Taquari,MT,Julho,17°,30°,10
Alto Taquari,MT,Agosto,19°,33°,22
Alto Taquari,MT,Setembro,22°,34°,80
Alto Taquari,MT,Outubro,23°,34°,133
Alto Taquari,MT,Novembro,22°,32°,209
Alto Taquari,MT,Dezembro,22°,30°,268
Alto Paraíso de Goiás,GO,Janeiro,20°,26°,258
Alto Paraíso de Goiás,GO,Fevereiro,20°,26°,211
Alto Paraíso de Goiás,GO,Março,20°,26°,213
Alto Paraíso de Goiás,GO,Abril,19°,26°,94
Alto Paraíso de Goiás,GO,Maio,18°,27°,23
Alto Paraíso de Goiás,GO,Junho,16°,27°,4
Alto Paraíso de Goiás,GO,Julho,16°,27°,1
Alto Paraíso de Goiás,GO,Agosto,17°,30°,9
Alto Paraíso de Goiás,GO,Setembro,19°,31°,43
Alto Paraíso de Goiás,GO,Outubro,21°,31°,117
Alto Paraíso de Goiás,GO,Novembro,20°,27°,205
Alto Paraíso de Goiás,GO,Dezembro,20°,26°,275
Aldeia da Serra,SP,Janeiro,18°,24°,255
Aldeia da Serra,SP,Fevereiro,18°,25°,204
Aldeia da Serra,SP,Março,18°,24°,168
Aldeia da Serra,SP,Abril,16°,23°,82
Aldeia da Serra,SP,Maio,13°,21°,80
Aldeia da Serra,SP,Junho,12°,21°,53
Aldeia da Serra,SP,Julho,12°,21°,47
Aldeia da Serra,SP,Agosto,13°,23°,35
Aldeia da Serra,SP,Setembro,15°,23°,161
Aldeia da Serra,SP,Outubro,16°,25°,122
Aldeia da Serra,SP,Novembro,17°,24°,140
Aldeia da Serra,SP,Dezembro,18°,24°,212
Sobradinho,DF,Janeiro,19°,26°,225
Sobradinho,DF,Fevereiro,18°,26°,176
Sobradinho,DF,Março,18°,25°,200
Sobradinho,DF,Abril,18°,26°,102
Sobradinho,DF,Maio,16°,26°,28
Sobradinho,DF,Junho,15°,26°,6
Sobradinho,DF,Julho,15°,26°,5
Sobradinho,DF,Agosto,16°,29°,15
Sobradinho,DF,Setembro,19°,31°,40
Sobradinho,DF,Outubro,20°,31°,117
Sobradinho,DF,Novembro,19°,27°,207
Sobradinho,DF,Dezembro,19°,26°,232
Areia,PB,Janeiro,22°,30°,53
Areia,PB,Fevereiro,22°,30°,72
Areia,PB,Março,22°,30°,119
Areia,PB,Abril,22°,28°,119
Areia,PB,Maio,21°,28°,98
Areia,PB,Junho,20°,25°,109
Areia,PB,Julho,20°,25°,88
Areia,PB,Agosto,19°,26°,60
Areia,PB,Setembro,20°,28°,30
Areia,PB,Outubro,20°,30°,12
Areia,PB,Novembro,21°,30°,14
Areia,PB,Dezembro,21°,30°,21
Porto Acre,AC,Janeiro,23°,29°,280
Porto Acre,AC,Fevereiro,23°,28°,263
Porto Acre,AC,Março,23°,28°,259
Porto Acre,AC,Abril,22°,28°,181
Porto Acre,AC,Maio,21°,29°,94
Porto Acre,AC,Junho,20°,31°,35
Porto Acre,AC,Julho,20°,32°,26
Porto Acre,AC,Agosto,22°,34°,45
Porto Acre,AC,Setembro,24°,34°,82
Porto Acre,AC,Outubro,23°,32°,151
Porto Acre,AC,Novembro,23°,30°,201
Porto Acre,AC,Dezembro,23°,29°,247
Anhumas,MT,Janeiro,22°,30°,289
Anhumas,MT,Fevereiro,22°,30°,235
Anhumas,MT,Março,21°,30°,215
Anhumas,MT,Abril,21°,30°,104
Anhumas,MT,Maio,19°,29°,44
Anhumas,MT,Junho,18°,30°,15
Anhumas,MT,Julho,19°,31°,10
Anhumas,MT,Agosto,21°,34°,18
Anhumas,MT,Setembro,24°,36°,69
Anhumas,MT,Outubro,24°,35°,115
Anhumas,MT,Novembro,23°,33°,192
Anhumas,MT,Dezembro,22°,31°,252
Alvorada do Norte,GO,Janeiro,20°,30°,199
Alvorada do Norte,GO,Fevereiro,20°,30°,165
Alvorada do Norte,GO,Março,20°,29°,177
Alvorada do Norte,GO,Abril,20°,29°,86
Alvorada do Norte,GO,Maio,19°,30°,22
Alvorada do Norte,GO,Junho,18°,29°,4
Alvorada do Norte,GO,Julho,18°,30°,2
Alvorada do Norte,GO,Agosto,19°,32°,6
Alvorada do Norte,GO,Setembro,22°,34°,25
Alvorada do Norte,GO,Outubro,23°,34°,108
Alvorada do Norte,GO,Novembro,22°,31°,193
Alvorada do Norte,GO,Dezembro,21°,30°,242
Alfredo Marcondes,SP,Janeiro,23°,30°,230
Alfredo Marcondes,SP,Fevereiro,22°,30°,176
Alfredo Marcondes,SP,Março,22°,30°,139
Alfredo Marcondes,SP,Abril,20°,30°,75
Alfredo Marcondes,SP,Maio,16°,25°,74
Alfredo Marcondes,SP,Junho,16°,26°,41
Alfredo Marcondes,SP,Julho,16°,26°,34
Alfredo Marcondes,SP,Agosto,18°,30°,36
Alfredo Marcondes,SP,Setembro,20°,32°,81
Alfredo Marcondes,SP,Outubro,22°,33°,106
Alfredo Marcondes,SP,Novembro,22°,32°,133
Alfredo Marcondes,SP,Dezembro,22°,32°,191
Taguatinga,DF,Janeiro,19°,26°,225
Taguatinga,DF,Fevereiro,18°,26°,176
Taguatinga,DF,Março,18°,25°,200
Taguatinga,DF,Abril,18°,26°,102
Taguatinga,DF,Maio,16°,26°,28
Taguatinga,DF,Junho,14°,26°,6
Taguatinga,DF,Julho,14°,26°,5
Taguatinga,DF,Agosto,16°,29°,15
Taguatinga,DF,Setembro,19°,30°,40
Taguatinga,DF,Outubro,20°,31°,117
Taguatinga,DF,Novembro,19°,27°,207
Taguatinga,DF,Dezembro,19°,26°,232
Rorainópolis,RR,Janeiro,23°,30°,199
Rorainópolis,RR,Fevereiro,23°,30°,202
Rorainópolis,RR,Março,23°,29°,241
Rorainópolis,RR,Abril,23°,28°,320
Rorainópolis,RR,Maio,23°,28°,301
Rorainópolis,RR,Junho,22°,29°,208
Rorainópolis,RR,Julho,22°,30°,143
Rorainópolis,RR,Agosto,23°,32°,118
Rorainópolis,RR,Setembro,23°,33°,116
Rorainópolis,RR,Outubro,24°,33°,132
Rorainópolis,RR,Novembro,24°,32°,150
Rorainópolis,RR,Dezembro,23°,30°,166
Areia de Baraúnas,PB,Janeiro,21°,31°,60
Areia de Baraúnas,PB,Fevereiro,21°,31°,83
Areia de Baraúnas,PB,Março,21°,31°,131
Areia de Baraúnas,PB,Abril,21°,30°,98
Areia de Baraúnas,PB,Maio,20°,29°,54
Areia de Baraúnas,PB,Junho,20°,28°,35
Areia de Baraúnas,PB,Julho,19°,28°,23
Areia de Baraúnas,PB,Agosto,19°,29°,16
Areia de Baraúnas,PB,Setembro,20°,31°,12
Areia de Baraúnas,PB,Outubro,20°,32°,7
Areia de Baraúnas,PB,Novembro,21°,33°,6
Areia de Baraúnas,PB,Dezembro,21°,32°,25
Amaralina,GO,Janeiro,21°,28°,318
Amaralina,GO,Fevereiro,21°,28°,247
Amaralina,GO,Março,21°,27°,237
Amaralina,GO,Abril,20°,28°,100
Amaralina,GO,Maio,19°,29°,22
Amaralina,GO,Junho,18°,30°,3
Amaralina,GO,Julho,19°,31°,1
Amaralina,GO,Agosto,21°,33°,7
Amaralina,GO,Setembro,24°,35°,48
Amaralina,GO,Outubro,24°,34°,128
Amaralina,GO,Novembro,22°,30°,208
Amaralina,GO,Dezembro,21°,29°,301
Alphaville,SP,Janeiro,18°,24°,263
Alphaville,SP,Fevereiro,18°,25°,234
Alphaville,SP,Março,18°,24°,205
Alphaville,SP,Abril,16°,23°,119
Alphaville,SP,Maio,13°,21°,95
Alphaville,SP,Junho,12°,21°,69
Alphaville,SP,Julho,12°,21°,69
Alphaville,SP,Agosto,13°,23°,51
Alphaville,SP,Setembro,15°,23°,122
Alphaville,SP,Outubro,16°,25°,138
Alphaville,SP,Novembro,17°,24°,148
Alphaville,SP,Dezembro,18°,24°,209
São João da Baliza,RR,Janeiro,23°,30°,209
São João da Baliza,RR,Fevereiro,23°,30°,216
São João da Baliza,RR,Março,23°,29°,260
São João da Baliza,RR,Abril,23°,28°,328
São João da Baliza,RR,Maio,23°,28°,299
São João da Baliza,RR,Junho,22°,29°,201
São João da Baliza,RR,Julho,22°,31°,138
São João da Baliza,RR,Agosto,23°,33°,114
São João da Baliza,RR,Setembro,24°,34°,114
São João da Baliza,RR,Outubro,24°,34°,132
São João da Baliza,RR,Novembro,24°,32°,147
São João da Baliza,RR,Dezembro,23°,31°,176
Areial,PB,Janeiro,20°,29°,46
Areial,PB,Fevereiro,20°,29°,65
Areial,PB,Março,20°,29°,107
Areial,PB,Abril,20°,27°,109
Areial,PB,Maio,20°,27°,92
Areial,PB,Junho,19°,24°,117
Areial,PB,Julho,18°,24°,96
Areial,PB,Agosto,18°,25°,66
Areial,PB,Setembro,19°,27°,32
Areial,PB,Outubro,19°,29°,13
Areial,PB,Novembro,20°,30°,15
Areial,PB,Dezembro,20°,30°,19
América Dourada,BA,Janeiro,19°,30°,99
América Dourada,BA,Fevereiro,20°,30°,64
América Dourada,BA,Março,20°,30°,95
América Dourada,BA,Abril,19°,29°,48
América Dourada,BA,Maio,18°,27°,18
América Dourada,BA,Junho,17°,25°,23
América Dourada,BA,Julho,17°,25°,16
América Dourada,BA,Agosto,17°,26°,11
América Dourada,BA,Setembro,18°,29°,13
América Dourada,BA,Outubro,19°,31°,31
América Dourada,BA,Novembro,20°,30°,87
América Dourada,BA,Dezembro,20°,30°,99
Avelar,RJ,Janeiro,20°,28°,246
Avelar,RJ,Fevereiro,20°,29°,155
Avelar,RJ,Março,20°,28°,165
Avelar,RJ,Abril,18°,27°,79
Avelar,RJ,Maio,16°,24°,50
Avelar,RJ,Junho,15°,25°,27
Avelar,RJ,Julho,15°,24°,23
Avelar,RJ,Agosto,16°,27°,28
Avelar,RJ,Setembro,17°,27°,69
Avelar,RJ,Outubro,19°,29°,101
Avelar,RJ,Novembro,19°,28°,167
Avelar,RJ,Dezembro,20°,28°,252
Americano do Brasil,GO,Janeiro,20°,27°,258
Americano do Brasil,GO,Fevereiro,20°,27°,216
Americano do Brasil,GO,Março,19°,26°,222
Americano do Brasil,GO,Abril,19°,27°,101
Americano do Brasil,GO,Maio,17°,27°,27
Americano do Brasil,GO,Junho,17°,28°,13
Americano do Brasil,GO,Julho,17°,29°,4
Americano do Brasil,GO,Agosto,20°,32°,13
Americano do Brasil,GO,Setembro,22°,33°,58
Americano do Brasil,GO,Outubro,23°,32°,138
Americano do Brasil,GO,Novembro,21°,29°,211
Americano do Brasil,GO,Dezembro,20°,28°,264
Altair,SP,Janeiro,21°,28°,278
Altair,SP,Fevereiro,21°,28°,204
Altair,SP,Março,21°,28°,165
Altair,SP,Abril,19°,28°,81
Altair,SP,Maio,16°,26°,53
Altair,SP,Junho,16°,27°,24
Altair,SP,Julho,16°,28°,17
Altair,SP,Agosto,19°,31°,24
Altair,SP,Setembro,21°,33°,56
Altair,SP,Outubro,22°,33°,96
Altair,SP,Novembro,22°,32°,135
Altair,SP,Dezembro,22°,30°,220
Arcoverde,PE,Janeiro,20°,32°,59
Arcoverde,PE,Fevereiro,20°,31°,78
Arcoverde,PE,Março,20°,30°,119
Arcoverde,PE,Abril,19°,28°,145
Arcoverde,PE,Maio,18°,28°,82
Arcoverde,PE,Junho,18°,26°,81
Arcoverde,PE,Julho,17°,26°,95
Arcoverde,PE,Agosto,16°,27°,40
Arcoverde,PE,Setembro,17°,30°,29
Arcoverde,PE,Outubro,18°,31°,14
Arcoverde,PE,Novembro,19°,32°,30
Arcoverde,PE,Dezembro,19°,32°,27
São Luiz,RR,Janeiro,23°,30°,217
São Luiz,RR,Fevereiro,23°,30°,221
São Luiz,RR,Março,23°,29°,270
São Luiz,RR,Abril,23°,28°,339
São Luiz,RR,Maio,23°,28°,314
São Luiz,RR,Junho,22°,29°,200
São Luiz,RR,Julho,22°,31°,136
São Luiz,RR,Agosto,23°,33°,111
São Luiz,RR,Setembro,24°,34°,118
São Luiz,RR,Outubro,24°,34°,139
São Luiz,RR,Novembro,24°,32°,157
São Luiz,RR,Dezembro,23°,31°,183
Alvorada,RS,Janeiro,20°,30°,121
Alvorada,RS,Fevereiro,20°,30°,108
Alvorada,RS,Março,20°,29°,91
Alvorada,RS,Abril,17°,26°,116
Alvorada,RS,Maio,14°,21°,106
Alvorada,RS,Junho,13°,20°,134
Alvorada,RS,Julho,11°,19°,145
Alvorada,RS,Agosto,12°,21°,124
Alvorada,RS,Setembro,13°,21°,148
Alvorada,RS,Outubro,16°,24°,141
Alvorada,RS,Novembro,17°,26°,122
Alvorada,RS,Dezembro,19°,29°,112
Porto Walter,AC,Janeiro,23°,29°,253
Porto Walter,AC,Fevereiro,22°,28°,232
Porto Walter,AC,Março,22°,28°,288
Porto Walter,AC,Abril,22°,28°,237
Porto Walter,AC,Maio,21°,29°,138
Porto Walter,AC,Junho,20°,30°,88
Porto Walter,AC,Julho,19°,31°,60
Porto Walter,AC,Agosto,21°,33°,67
Porto Walter,AC,Setembro,22°,34°,111
Porto Walter,AC,Outubro,23°,32°,179
Porto Walter,AC,Novembro,23°,30°,217
Porto Walter,AC,Dezembro,23°,29°,252
Apiacás,MT,Janeiro,22°,28°,349
Apiacás,MT,Fevereiro,22°,27°,332
Apiacás,MT,Março,22°,28°,334
Apiacás,MT,Abril,22°,29°,210
Apiacás,MT,Maio,21°,31°,66
Apiacás,MT,Junho,20°,32°,13
Apiacás,MT,Julho,20°,33°,10
Apiacás,MT,Agosto,21°,36°,28
Apiacás,MT,Setembro,23°,35°,98
Apiacás,MT,Outubro,23°,34°,185
Apiacás,MT,Novembro,22°,31°,274
Apiacás,MT,Dezembro,22°,29°,366
Rio Branco,AC,Janeiro,21°,31°,289
Rio Branco,AC,Fevereiro,21°,31°,285
Rio Branco,AC,Março,21°,31°,230
Rio Branco,AC,Abril,21°,31°,190
Rio Branco,AC,Maio,19°,31°,93
Rio Branco,AC,Junho,18°,30°,32
Rio Branco,AC,Julho,17°,31°,44
Rio Branco,AC,Agosto,17°,33°,38
Rio Branco,AC,Setembro,19°,33°,90
Rio Branco,AC,Outubro,21°,33°,171
Rio Branco,AC,Novembro,21°,32°,221
Rio Branco,AC,Dezembro,21°,31°,265
Aroeiras,PB,Janeiro,22°,30°,41
Aroeiras,PB,Fevereiro,22°,30°,60
Aroeiras,PB,Março,22°,30°,91
Aroeiras,PB,Abril,22°,29°,99
Aroeiras,PB,Maio,21°,28°,90
Aroeiras,PB,Junho,20°,25°,124
Aroeiras,PB,Julho,20°,25°,109
Aroeiras,PB,Agosto,19°,26°,69
Aroeiras,PB,Setembro,19°,28°,38
Aroeiras,PB,Outubro,20°,29°,17
Aroeiras,PB,Novembro,21°,31°,15
Aroeiras,PB,Dezembro,21°,30°,24
Rodrigues Alves,AC,Janeiro,23°,29°,246
Rodrigues Alves,AC,Fevereiro,23°,28°,233
Rodrigues Alves,AC,Março,23°,28°,276
Rodrigues Alves,AC,Abril,22°,28°,232
Rodrigues Alves,AC,Maio,21°,29°,151
Rodrigues Alves,AC,Junho,20°,29°,92
Rodrigues Alves,AC,Julho,20°,30°,64
Rodrigues Alves,AC,Agosto,22°,33°,69
Rodrigues Alves,AC,Setembro,23°,33°,119
Rodrigues Alves,AC,Outubro,23°,31°,183
Rodrigues Alves,AC,Novembro,23°,30°,219
Rodrigues Alves,AC,Dezembro,23°,29°,242
Afonso Cláudio,ES,Janeiro,18°,25°,224
Afonso Cláudio,ES,Fevereiro,18°,26°,115
Afonso Cláudio,ES,Março,18°,25°,164
Afonso Cláudio,ES,Abril,17°,24°,93
Afonso Cláudio,ES,Maio,15°,23°,46
Afonso Cláudio,ES,Junho,13°,22°,26
Afonso Cláudio,ES,Julho,13°,22°,24
Afonso Cláudio,ES,Agosto,14°,23°,31
Afonso Cláudio,ES,Setembro,15°,24°,51
Afonso Cláudio,ES,Outubro,17°,25°,104
Afonso Cláudio,ES,Novembro,18°,24°,211
Afonso Cláudio,ES,Dezembro,18°,25°,253
Porto Grande,AP,Janeiro,22°,31°,193
Porto Grande,AP,Fevereiro,22°,30°,256
Porto Grande,AP,Março,22°,30°,326
Porto Grande,AP,Abril,22°,30°,281
Porto Grande,AP,Maio,22°,30°,316
Porto Grande,AP,Junho,22°,30°,209
Porto Grande,AP,Julho,21°,31°,187
Porto Grande,AP,Agosto,21°,32°,145
Porto Grande,AP,Setembro,21°,33°,102
Porto Grande,AP,Outubro,21°,34°,61
Porto Grande,AP,Novembro,21°,33°,97
Porto Grande,AP,Dezembro,22°,33°,72
Altinópolis,SP,Janeiro,20°,26°,280
Altinópolis,SP,Fevereiro,19°,27°,210
Altinópolis,SP,Março,19°,26°,177
Altinópolis,SP,Abril,17°,26°,87
Altinópolis,SP,Maio,14°,24°,65
Altinópolis,SP,Junho,14°,24°,26
Altinópolis,SP,Julho,14°,25°,19
Altinópolis,SP,Agosto,17°,28°,24
Altinópolis,SP,Setembro,18°,30°,72
Altinópolis,SP,Outubro,20°,31°,132
Altinópolis,SP,Novembro,19°,29°,177
Altinópolis,SP,Dezembro,20°,28°,277
Amorinópolis,GO,Janeiro,21°,28°,290
Amorinópolis,GO,Fevereiro,21°,28°,223
Amorinópolis,GO,Março,21°,28°,223
Amorinópolis,GO,Abril,20°,28°,94
Amorinópolis,GO,Maio,18°,28°,30
Amorinópolis,GO,Junho,17°,29°,14
Amorinópolis,GO,Julho,18°,30°,5
Amorinópolis,GO,Agosto,20°,33°,16
Amorinópolis,GO,Setembro,23°,35°,52
Amorinópolis,GO,Outubro,23°,34°,124
Amorinópolis,GO,Novembro,22°,31°,197
Amorinópolis,GO,Dezembro,21°,30°,274
Barra de Guabiraba,PE,Janeiro,20°,28°,46
Barra de Guabiraba,PE,Fevereiro,21°,29°,63
Barra de Guabiraba,PE,Março,21°,29°,94
Barra de Guabiraba,PE,Abril,21°,27°,100
Barra de Guabiraba,PE,Maio,20°,26°,107
Barra de Guabiraba,PE,Junho,20°,24°,137
Barra de Guabiraba,PE,Julho,19°,23°,122
Barra de Guabiraba,PE,Agosto,19°,24°,82
Barra de Guabiraba,PE,Setembro,19°,25°,41
Barra de Guabiraba,PE,Outubro,19°,27°,21
Barra de Guabiraba,PE,Novembro,20°,28°,18
Barra de Guabiraba,PE,Dezembro,20°,28°,26
Uiramutã,RR,Janeiro,23°,29°,325
Uiramutã,RR,Fevereiro,23°,28°,325
Uiramutã,RR,Março,23°,28°,347
Uiramutã,RR,Abril,23°,28°,284
Uiramutã,RR,Maio,23°,29°,246
Uiramutã,RR,Junho,22°,31°,143
Uiramutã,RR,Julho,22°,33°,87
Uiramutã,RR,Agosto,24°,35°,91
Uiramutã,RR,Setembro,24°,36°,114
Uiramutã,RR,Outubro,25°,34°,181
Uiramutã,RR,Novembro,24°,32°,207
Uiramutã,RR,Dezembro,24°,30°,255
Anagé,BA,Janeiro,19°,29°,113
Anagé,BA,Fevereiro,19°,30°,74
Anagé,BA,Março,19°,29°,96
Anagé,BA,Abril,19°,28°,47
Anagé,BA,Maio,18°,27°,17
Anagé,BA,Junho,17°,25°,15
Anagé,BA,Julho,16°,25°,11
Anagé,BA,Agosto,17°,26°,9
Anagé,BA,Setembro,18°,28°,18
Anagé,BA,Outubro,19°,29°,58
Anagé,BA,Novembro,19°,29°,119
Anagé,BA,Dezembro,19°,29°,147
Assunção,PB,Janeiro,21°,30°,60
Assunção,PB,Fevereiro,21°,30°,83
Assunção,PB,Março,21°,30°,131
Assunção,PB,Abril,20°,28°,98
Assunção,PB,Maio,20°,28°,54
Assunção,PB,Junho,19°,26°,35
Assunção,PB,Julho,18°,25°,23
Assunção,PB,Agosto,18°,26°,16
Assunção,PB,Setembro,19°,29°,12
Assunção,PB,Outubro,20°,30°,7
Assunção,PB,Novembro,20°,31°,6
Assunção,PB,Dezembro,20°,30°,25
Alto Alegre,SP,Janeiro,22°,30°,228
